m_dist,var_dist,m_r,var_r,z
0.3,0.1197, 0.0036, 0.0014, 0.03
0.2968, 0.0833, 0.0035, 0.0014, 0.1
0.3431, 0.0865, 0.0034, 0.0019, 0.3
0.2946, 0.0846, 0.0034, 0.0019, 0.5
0.2946, 0.0846, 0.0034, 0.0019, 0.7
