no ks ts tr alpha n rho z name
1 2.041e-06 0.49635406 0.02861044 2.015623 1.267703 1.50E+03 -0.2 topwollef90
2 2.041e-06 0.52903 0.02861044 2.015623 1.267703 1.50E+03 -0.2 topwollef85
3 2.041e-06 0.47556 0.02861044 2.015623 1.267703 1.50E+03 -0.2 topwollef95
4 1.298e-06 0.47087 0.02225360 2.227031 1.251188 1.50E+03 -0.4 midwollef
