m_dist,var_dist,m_r,var_r,z
0.1992, 0.068, 0.0028, 0.0013, 0.03
0.2587, 0.0739, 0.0034, 0.0019, 0.1
0.329, 0.1058, 0.0034, 0.0014, 0.3
0.2946, 0.0846, 0.0034, 0.0014, 0.5
0.2946, 0.0846, 0.0034, 0.0014, 0.7
